"","id","accepted_date","title","ps","p_value"
"1","10.1371/journal.pone.0188403","2017-11-06T00:00:00Z","The peer review gap: A longitudinal case study of gendered publishing and occupational patterns in a female-rich discipline, Western North America (1974–2016)","p = .00248",0.00248
"2","10.1371/journal.pone.0188403","2017-11-06T00:00:00Z","The peer review gap: A longitudinal case study of gendered publishing and occupational patterns in a female-rich discipline, Western North America (1974–2016)","p = .02980",0.0298
"3","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.422)",0.422
"4","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.649)",0.649
"5","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.296)",0.296
"6","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.279)",0.279
"7","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.083)",0.083
"8","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.637)",0.637
"9","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.002)",0.002
"10","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.006)",0.006
"11","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.004)",0.004
"12","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.007)",0.007
"13","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p < 0.001)",5e-04
"14","10.1371/journal.pone.0239424","2020-09-08T00:00:00Z","Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument","p = 0.028)",0.028
"15","10.1371/journal.pone.0232367","2020-04-13T00:00:00Z","Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion","p = 0.8) o",0.8
"16","10.1371/journal.pone.0232367","2020-04-13T00:00:00Z","Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion","p = 0.2) o",0.2
"17","10.1371/journal.pone.0196488","2018-04-13T00:00:00Z","Symbols in motion: Flexible cultural boundaries and the fast spread of the Neolithic in the western Mediterranean","p < 0.01),",0.005
"18","10.1371/journal.pone.0196488","2018-04-13T00:00:00Z","Symbols in motion: Flexible cultural boundaries and the fast spread of the Neolithic in the western Mediterranean","p < 0.01) ",0.005
"19","10.1371/journal.pone.0196488","2018-04-13T00:00:00Z","Symbols in motion: Flexible cultural boundaries and the fast spread of the Neolithic in the western Mediterranean","p < 0.01).",0.005
"20","10.1371/journal.pone.0196488","2018-04-13T00:00:00Z","Symbols in motion: Flexible cultural boundaries and the fast spread of the Neolithic in the western Mediterranean","p < 0.001.",5e-04
"21","10.1371/journal.pone.0193212","2018-01-25T00:00:00Z","An efficient and reliable DNA-based sex identification method for archaeological Pacific salmonid (Oncorhynchus spp.) remains","p = 0.17).",0.17
"22","10.1371/journal.pone.0162062","2016-08-16T00:00:00Z","Detecting Precontact Anthropogenic Microtopographic Features in a Forested Landscape with Lidar: A Case Study from the Upper Great Lakes Region, AD 1000-1600","p < .05 fo",0.05
"23","10.1371/journal.pone.0162062","2016-08-16T00:00:00Z","Detecting Precontact Anthropogenic Microtopographic Features in a Forested Landscape with Lidar: A Case Study from the Upper Great Lakes Region, AD 1000-1600","p < .01 fo",0.01
"24","10.1371/journal.pone.0162062","2016-08-16T00:00:00Z","Detecting Precontact Anthropogenic Microtopographic Features in a Forested Landscape with Lidar: A Case Study from the Upper Great Lakes Region, AD 1000-1600","p < .001 f",0.001
"25","10.1371/journal.pone.0187134","2017-10-13T00:00:00Z","A millennium of north-east Atlantic cod juvenile growth trajectories inferred from archaeological otoliths","p = 0.98).",0.98
"26","10.1371/journal.pone.0230348","2020-02-27T00:00:00Z","Miniaturization optimized weapon killing power during the social stress of late pre-contact North America (AD 600-1600)","p = 0.07) ",0.07
"27","10.1371/journal.pone.0230348","2020-02-27T00:00:00Z","Miniaturization optimized weapon killing power during the social stress of late pre-contact North America (AD 600-1600)","p = 0.82) ",0.82
"28","10.1371/journal.pone.0264092","2022-01-26T00:00:00Z","Late date of human arrival to North America: Continental scale differences in stratigraphic integrity of pre-13,000 BP archaeological sites","p = 0.01).",0.01
"29","10.1371/journal.pone.0264092","2022-01-26T00:00:00Z","Late date of human arrival to North America: Continental scale differences in stratigraphic integrity of pre-13,000 BP archaeological sites","p = 0.698)",0.698
"30","10.1371/journal.pone.0264092","2022-01-26T00:00:00Z","Late date of human arrival to North America: Continental scale differences in stratigraphic integrity of pre-13,000 BP archaeological sites","p = 0.028)",0.028
"31","10.1371/journal.pone.0121166","2015-01-30T00:00:00Z","Ornaments Reveal Resistance of North European Cultures to the Spread of Farming","p = 0.0000",0
"32","10.1371/journal.pone.0224666","2019-10-18T00:00:00Z","Seasonal oyster harvesting recorded in a Late Archaic period shell ring","p = elevat",1e-05
"33","10.1371/journal.pone.0124942","2015-03-19T00:00:00Z","A Theoretically-Sufficient and Computationally-Practical Technique for Deterministic Frequency Seriation","p = 0.04. ",0.04
"34","10.1371/journal.pone.0124942","2015-03-19T00:00:00Z","A Theoretically-Sufficient and Computationally-Practical Technique for Deterministic Frequency Seriation","p = 0.04 w",0.04
"35","10.1371/journal.pone.0257524","2021-09-03T00:00:00Z","Stable isotopes reveal intensive pig husbandry practices in the middle Yellow River region by the Yangshao period (7000–5000 BP)","p = 0.01),",0.01
"36","10.1371/journal.pone.0257524","2021-09-03T00:00:00Z","Stable isotopes reveal intensive pig husbandry practices in the middle Yellow River region by the Yangshao period (7000–5000 BP)","p = 0.20) ",0.2
"37","10.1371/journal.pone.0257524","2021-09-03T00:00:00Z","Stable isotopes reveal intensive pig husbandry practices in the middle Yellow River region by the Yangshao period (7000–5000 BP)","p = 0.005)",0.005
"38","10.1371/journal.pone.0257524","2021-09-03T00:00:00Z","Stable isotopes reveal intensive pig husbandry practices in the middle Yellow River region by the Yangshao period (7000–5000 BP)","p = 0.01) ",0.01
"39","10.1371/journal.pone.0257524","2021-09-03T00:00:00Z","Stable isotopes reveal intensive pig husbandry practices in the middle Yellow River region by the Yangshao period (7000–5000 BP)","p = 0.02).",0.02
"40","10.1371/journal.pone.0257524","2021-09-03T00:00:00Z","Stable isotopes reveal intensive pig husbandry practices in the middle Yellow River region by the Yangshao period (7000–5000 BP)","p = 0.04, ",0.04
"41","10.1371/journal.pone.0127067","2015-04-10T00:00:00Z","Pre-Columbian Floristic Legacies in Modern Homegardens of Central Amazonia","p = 0.096)",0.096
"42","10.1371/journal.pone.0127067","2015-04-10T00:00:00Z","Pre-Columbian Floristic Legacies in Modern Homegardens of Central Amazonia","p = 0.009)",0.009
"43","10.1371/journal.pone.0127067","2015-04-10T00:00:00Z","Pre-Columbian Floristic Legacies in Modern Homegardens of Central Amazonia","p = 0.009)",0.009
"44","10.1371/journal.pone.0127067","2015-04-10T00:00:00Z","Pre-Columbian Floristic Legacies in Modern Homegardens of Central Amazonia","p = 0.43).",0.43
